,0,1,2,3,4,5,6,7,8,9,10,11
2013-01-31,남광토건,삼부토건,쌍용양회,한창,동부건설,현대상선,STX,메디플란트,제이준코스메틱,STX중공업,컨버즈,우리들휴브레인
2013-02-28,남광토건,삼부토건,쌍용양회,한창,동부건설,현대상선,STX,메디플란트,제이준코스메틱,STX중공업,컨버즈,우리들휴브레인
2013-03-31,남광토건,삼부토건,쌍용양회,한창,동부건설,현대상선,STX,메디플란트,제이준코스메틱,STX중공업,컨버즈,우리들휴브레인
2013-04-30,남광토건,삼부토건,쌍용양회,한창,동부건설,현대상선,STX,메디플란트,제이준코스메틱,STX중공업,컨버즈,우리들휴브레인
2013-05-31,남광토건,삼부토건,쌍용양회,한창,동부건설,현대상선,STX,메디플란트,제이준코스메틱,STX중공업,컨버즈,우리들휴브레인
2013-06-30,남광토건,삼부토건,쌍용양회,한창,동부건설,현대상선,STX,메디플란트,제이준코스메틱,STX중공업,컨버즈,우리들휴브레인
2013-07-31,남광토건,삼부토건,쌍용양회,한창,동부건설,현대상선,STX,메디플란트,제이준코스메틱,STX중공업,컨버즈,우리들휴브레인
2013-08-31,남광토건,삼부토건,쌍용양회,한창,동부건설,현대상선,STX,메디플란트,제이준코스메틱,STX중공업,컨버즈,우리들휴브레인
2013-09-30,남광토건,삼부토건,쌍용양회,한창,동부건설,현대상선,STX,메디플란트,제이준코스메틱,STX중공업,컨버즈,우리들휴브레인
2013-10-31,범양건영,BGF,현대로템,화인베스틸,세화아이엠씨,DSR,TIGER 차이나CSI300레버리지(합성),잇츠한불,신한 레버리지 WTI원유 선물 ETN(H),미래에셋 레버리지 원유선물혼합 ETN(H),,
2013-11-30,범양건영,BGF,현대로템,화인베스틸,세화아이엠씨,DSR,TIGER 차이나CSI300레버리지(합성),잇츠한불,신한 레버리지 WTI원유 선물 ETN(H),미래에셋 레버리지 원유선물혼합 ETN(H),,
