,6
2013-01-31,"{'남광토건': [464.0, 464.0, 693.5], '삼부토건': [464.0, 464.0, 108.0], '동부건설': [464.0, 464.0, 107.0], '폴루스바이오팜': [464.0, 464.0, 494.0], '현대상선': [464.0, 464.0, 17.0], 'STX': [464.0, 464.0, 9.0], '키위미디어그룹': [464.0, 464.0, 302.0], '제이준코스메틱': [464.0, 464.0, 2.0], 'DSR제강': [464.0, 464.0, 598.0], 'STX중공업': [464.0, 464.0, 22.0]}"
2013-02-28,"{'남광토건': [464.0, 464.0, 148.0], '삼부토건': [464.0, 464.0, 172.0], '동부건설': [464.0, 464.0, 208.0], '폴루스바이오팜': [464.0, 464.0, 503.0], '현대상선': [464.0, 464.0, 27.0], 'STX': [464.0, 464.0, 11.0], '키위미디어그룹': [464.0, 464.0, 77.0], '제이준코스메틱': [464.0, 464.0, 1.0], 'DSR제강': [464.0, 464.0, 609.0], 'STX중공업': [464.0, 464.0, 91.0]}"
2013-03-31,"{'남광토건': [464.0, 464.0, 230.0], '삼부토건': [464.0, 464.0, 263.0], '동부건설': [464.0, 464.0, 247.0], '폴루스바이오팜': [464.0, 464.0, 162.0], '현대상선': [464.0, 464.0, 12.0], 'STX': [464.0, 464.0, 3.0], '키위미디어그룹': [464.0, 464.0, 85.0], '제이준코스메틱': [464.0, 464.0, 1.0], 'DSR제강': [464.0, 464.0, 603.0], 'STX중공업': [464.0, 464.0, 105.0]}"
2013-04-30,"{'남광토건': [464.0, 464.0, 222.0], '삼부토건': [464.0, 464.0, 121.0], '동부건설': [464.0, 464.0, 200.0], '폴루스바이오팜': [464.0, 464.0, 206.0], '현대상선': [464.0, 464.0, 32.0], 'STX': [464.0, 464.0, 2.0], '키위미디어그룹': [464.0, 464.0, 302.0], '제이준코스메틱': [464.0, 464.0, 1.0], 'DSR제강': [464.0, 464.0, 609.0], 'STX중공업': [464.0, 464.0, 23.0]}"
2013-05-31,"{'남광토건': [464.0, 464.0, 25.0], '삼부토건': [464.0, 464.0, 22.0], '동부건설': [464.0, 464.0, 212.0], '폴루스바이오팜': [464.0, 464.0, 342.0], '현대상선': [464.0, 464.0, 13.0], 'STX': [464.0, 464.0, 2.0], '키위미디어그룹': [464.0, 464.0, 159.0], '제이준코스메틱': [464.0, 464.0, 1.0], 'DSR제강': [464.0, 464.0, 313.0], 'STX중공업': [464.0, 464.0, 47.0]}"
2013-06-30,"{'남광토건': [464.0, 464.0, 13.0], '삼부토건': [464.0, 464.0, 54.0], '동부건설': [464.0, 464.0, 115.0], '폴루스바이오팜': [464.0, 464.0, 476.0], '현대상선': [464.0, 464.0, 2.0], 'STX': [464.0, 464.0, 1.0], '키위미디어그룹': [464.0, 464.0, 213.0], '제이준코스메틱': [464.0, 464.0, 3.0], 'DSR제강': [464.0, 464.0, 510.0], 'STX중공업': [464.0, 464.0, 8.0]}"
2013-07-31,"{'디아이': [8.0, 464.0, 46.0], '흥아해운': [23.0, 464.0, 207.0], '코스모신소재': [17.0, 464.0, 256.0], '한미사이언스': [5.0, 464.0, 283.0], 'KC그린홀딩스': [1.0, 464.0, 171.0], '삼화전기': [2.0, 464.0, 48.0], '삼화전자': [25.0, 464.0, 37.0], '인디에프': [18.0, 464.0, 230.0], '이스타코': [3.0, 464.0, 147.0], '에이엔피': [13.0, 464.0, 178.0]}"
2013-08-31,"{'삼화페인트': [5.0, 464.0, 237.0], '디아이': [3.0, 464.0, 30.0], '흥아해운': [30.0, 464.0, 235.0], '서연': [11.0, 464.0, 205.0], '한미사이언스': [13.0, 464.0, 292.0], 'KC그린홀딩스': [2.0, 464.0, 151.0], '삼화전기': [6.0, 464.0, 84.0], '이스타코': [1.0, 464.0, 132.0], '삼성출판사': [16.0, 464.0, 397.0], '이월드': [10.0, 464.0, 225.0]}"
2013-09-30,"{'삼화페인트': [1.0, 464.0, 147.0], '코스모화학': [18.0, 464.0, 186.0], '일신석재': [17.0, 464.0, 75.0], 'KC그린홀딩스': [30.0, 464.0, 217.0], '삼화전기': [3.0, 464.0, 201.0], '지엠비코리아': [13.0, 464.0, 285.0], '이스타코': [25.0, 464.0, 139.0], '하이트론': [20.0, 464.0, 631.0], '코아스': [12.0, 464.0, 69.0], '이아이디': [21.0, 464.0, 444.0]}"
2013-10-31,"{'한화': [72.0, 257.0, 85.0], '아세아': [42.0, 381.0, 701.0], '진양산업': [219.0, 251.0, 561.0], '삼익THK': [100.0, 379.0, 392.0], '조광피혁': [51.0, 315.0, 552.0], 'OCI': [43.0, 391.0, 17.0], '평화홀딩스': [180.0, 277.0, 658.0], '한익스프레스': [52.0, 462.0, 659.0], '진양화학': [152.0, 335.0, 565.0], '미원홀딩스': [107.0, 290.0, 665.0]}"
