,6
2013-01-31,"{'남광토건': [386.5, 386.5, 693.5], '삼부토건': [386.5, 386.5, 108.0], '동부건설': [386.5, 386.5, 107.0], '폴루스바이오팜': [386.5, 386.5, 494.0], '현대상선': [386.5, 386.5, 17.0], 'STX': [386.5, 386.5, 9.0], '키위미디어그룹': [386.5, 386.5, 302.0], '제이준코스메틱': [386.5, 386.5, 2.0], 'DSR제강': [386.5, 386.5, 598.0], 'STX중공업': [386.5, 386.5, 22.0]}"
2013-02-28,"{'남광토건': [386.5, 386.5, 148.0], '삼부토건': [386.5, 386.5, 172.0], '동부건설': [386.5, 386.5, 208.0], '폴루스바이오팜': [386.5, 386.5, 503.0], '현대상선': [386.5, 386.5, 27.0], 'STX': [386.5, 386.5, 11.0], '키위미디어그룹': [386.5, 386.5, 77.0], '제이준코스메틱': [386.5, 386.5, 1.0], 'DSR제강': [386.5, 386.5, 609.0], 'STX중공업': [386.5, 386.5, 91.0]}"
2013-03-31,"{'남광토건': [386.5, 386.5, 230.0], '삼부토건': [386.5, 386.5, 263.0], '동부건설': [386.5, 386.5, 247.0], '폴루스바이오팜': [386.5, 386.5, 162.0], '현대상선': [386.5, 386.5, 12.0], 'STX': [386.5, 386.5, 3.0], '키위미디어그룹': [386.5, 386.5, 85.0], '제이준코스메틱': [386.5, 386.5, 1.0], 'DSR제강': [386.5, 386.5, 603.0], 'STX중공업': [386.5, 386.5, 105.0]}"
2013-04-30,"{'남광토건': [386.5, 386.5, 222.0], '삼부토건': [386.5, 386.5, 121.0], '동부건설': [386.5, 386.5, 200.0], '폴루스바이오팜': [386.5, 386.5, 206.0], '현대상선': [386.5, 386.5, 32.0], 'STX': [386.5, 386.5, 2.0], '키위미디어그룹': [386.5, 386.5, 302.0], '제이준코스메틱': [386.5, 386.5, 1.0], 'DSR제강': [386.5, 386.5, 609.0], 'STX중공업': [386.5, 386.5, 23.0]}"
2013-05-31,"{'남광토건': [386.5, 386.5, 25.0], '삼부토건': [386.5, 386.5, 22.0], '동부건설': [386.5, 386.5, 212.0], '폴루스바이오팜': [386.5, 386.5, 342.0], '현대상선': [386.5, 386.5, 13.0], 'STX': [386.5, 386.5, 2.0], '키위미디어그룹': [386.5, 386.5, 159.0], '제이준코스메틱': [386.5, 386.5, 1.0], 'DSR제강': [386.5, 386.5, 313.0], 'STX중공업': [386.5, 386.5, 47.0]}"
2013-06-30,"{'남광토건': [386.5, 386.5, 13.0], '삼부토건': [386.5, 386.5, 54.0], '동부건설': [386.5, 386.5, 115.0], '폴루스바이오팜': [386.5, 386.5, 476.0], '현대상선': [386.5, 386.5, 2.0], 'STX': [386.5, 386.5, 1.0], '키위미디어그룹': [386.5, 386.5, 213.0], '제이준코스메틱': [386.5, 386.5, 3.0], 'DSR제강': [386.5, 386.5, 510.0], 'STX중공업': [386.5, 386.5, 8.0]}"
2013-07-31,"{'디아이': [8.0, 386.5, 46.0], '흥아해운': [23.0, 386.5, 207.0], '코스모신소재': [17.0, 386.5, 256.0], '한미사이언스': [5.0, 386.5, 283.0], 'KC그린홀딩스': [1.0, 386.5, 171.0], '삼화전기': [2.0, 386.5, 48.0], '삼화전자': [25.0, 386.5, 37.0], '인디에프': [18.0, 386.5, 230.0], '이스타코': [3.0, 386.5, 147.0], '에이엔피': [13.0, 386.5, 178.0]}"
2013-08-31,"{'삼화페인트': [5.0, 386.5, 237.0], '디아이': [3.0, 386.5, 30.0], '흥아해운': [30.0, 386.5, 235.0], '서연': [11.0, 386.5, 205.0], '한미사이언스': [13.0, 386.5, 292.0], 'KC그린홀딩스': [2.0, 386.5, 151.0], '삼화전기': [6.0, 386.5, 84.0], '이스타코': [1.0, 386.5, 132.0], '삼성출판사': [16.0, 386.5, 397.0], '이월드': [10.0, 386.5, 225.0]}"
2013-09-30,"{'삼화페인트': [1.0, 386.5, 147.0], '삼부토건': [42.0, 386.5, 107.0], '코스모화학': [18.0, 386.5, 186.0], '일신석재': [17.0, 386.5, 75.0], 'KC그린홀딩스': [30.0, 386.5, 217.0], '삼화전기': [3.0, 386.5, 201.0], '이스타코': [25.0, 386.5, 139.0], '하이트론': [20.0, 386.5, 631.0], '코아스': [12.0, 386.5, 69.0], '이아이디': [21.0, 386.5, 444.0]}"
2013-10-31,"{'한화': [72.0, 102.0, 85.0], '아세아': [42.0, 226.0, 701.0], '한진중공업홀딩스': [36.0, 247.0, 410.0], '진양산업': [219.0, 96.0, 561.0], '조광피혁': [51.0, 160.0, 552.0], '삼성공조': [184.0, 85.0, 560.0], 'OCI': [43.0, 236.0, 17.0], '평화홀딩스': [180.0, 122.0, 658.0], '진양화학': [152.0, 180.0, 565.0], '미원홀딩스': [107.0, 135.0, 665.0]}"
2013-11-30,"{'한화': [62.0, 104.0, 105.0], '범양건영': [299.5, 40.0, 703.0], '한진중공업홀딩스': [26.0, 205.0, 355.0], '조광피혁': [83.0, 168.0, 561.0], '무림페이퍼': [115.0, 124.0, 356.0], '진양폴리': [176.0, 103.0, 592.0], '경동인베스트': [186.0, 93.0, 419.0], '황금에스티': [205.0, 101.0, 468.0], '미원홀딩스': [153.0, 132.0, 672.0], '케이탑리츠': [44.0, 256.0, 660.0]}"
2013-12-31,"{'한화': [60.0, 123.0, 96.0], '대웅': [28.0, 275.0, 601.0], '한진중공업홀딩스': [52.0, 190.0, 436.0], '조광피혁': [107.0, 154.0, 448.0], '문배철강': [207.0, 93.0, 603.0], '무림페이퍼': [47.0, 157.0, 224.0], 'OCI': [33.0, 237.0, 33.0], '경동인베스트': [138.0, 97.0, 399.0], '영보화학': [96.0, 216.0, 362.0], '황금에스티': [179.0, 109.0, 429.0]}"
2014-01-31,"{'한화': [93.0, 128.0, 144.0], '제일파마홀딩스': [170.0, 125.0, 534.0], '방림': [211.0, 107.0, 549.0], '조광피혁': [58.0, 160.0, 537.0], '문배철강': [173.0, 92.0, 595.0], '경동인베스트': [104.0, 98.0, 432.0], '황금에스티': [116.0, 116.0, 509.0], '하이골드8호': [186.0, 123.0, 673.0], '하이골드12호': [261.0, 39.5, 642.0], 'JB금융지주': [131.0, 39.5, 158.0]}"
2014-02-28,"{'유니온': [94.0, 117.0, 364.0], '제일파마홀딩스': [106.0, 124.0, 475.0], '선창산업': [120.0, 147.0, 515.0], '방림': [109.0, 105.0, 468.0], '조광피혁': [27.0, 214.0, 427.0], '경동인베스트': [136.0, 102.0, 459.0], '교보증권': [146.0, 106.0, 449.0], '황금에스티': [90.0, 129.0, 454.0], '진양화학': [69.0, 181.0, 483.0], 'JB금융지주': [125.0, 39.0, 190.0]}"
2014-03-31,"{'제일파마홀딩스': [99.0, 125.0, 415.0], '방림': [169.0, 102.0, 570.0], '문배철강': [107.0, 134.0, 437.0], '경동인베스트': [124.0, 105.0, 435.0], '교보증권': [101.0, 112.0, 404.0], '황금에스티': [80.0, 151.0, 412.0], '포스코강판': [140.0, 119.0, 560.0], '농심홀딩스': [58.0, 136.0, 392.0], '아모레퍼시픽': [57.0, 189.0, 255.0], '한진칼': [63.0, 38.5, 76.0]}"
2014-04-30,"{'고려산업': [115.0, 208.0, 570.0], '삼양통상': [117.0, 187.0, 439.0], '제일파마홀딩스': [61.0, 137.0, 410.0], '방림': [151.0, 101.0, 558.0], '경동인베스트': [97.0, 111.0, 369.0], 'SK가스': [121.0, 153.0, 231.0], '교보증권': [50.0, 216.0, 311.0], '황금에스티': [79.0, 176.0, 421.0], '포스코강판': [125.0, 118.0, 577.0], '한진칼': [36.0, 38.5, 91.0]}"
2014-05-31,"{'조선내화': [171.0, 84.0, 530.0], '삼양통상': [109.0, 209.0, 486.0], '제일파마홀딩스': [26.0, 184.0, 370.0], '방림': [118.0, 112.0, 504.0], '신송홀딩스': [202.0, 37.5, 388.0], '영화금속': [195.0, 137.0, 416.0], '경동인베스트': [138.0, 113.0, 418.0], 'SK가스': [95.0, 196.0, 238.0], '한진칼': [32.0, 37.5, 120.0], '아세아시멘트': [160.0, 37.5, 267.0]}"
2014-06-30,"{'삼양통상': [20.0, 287.0, 234.0], '제일파마홀딩스': [17.0, 176.0, 369.0], '보락': [122.0, 152.0, 661.0], '방림': [137.0, 120.0, 539.0], '진양산업': [237.0, 99.0, 608.0], '영화금속': [206.0, 127.0, 326.0], '경동인베스트': [222.0, 109.0, 434.0], '태경산업': [167.0, 115.0, 458.0], '한진칼': [93.0, 37.0, 78.0], '아세아시멘트': [162.0, 37.0, 332.0]}"
2014-07-31,"{'제일연마': [238.0, 111.0, 682.0], '조흥': [137.0, 151.0, 579.0], '제일파마홀딩스': [25.0, 230.0, 402.0], '보락': [154.0, 177.0, 679.0], '진양산업': [251.0, 95.0, 602.0], '삼아알미늄': [218.0, 103.0, 640.0], '미래에셋대우': [221.0, 89.0, 39.0], '태경산업': [174.0, 102.0, 546.0], 'SK가스': [82.0, 217.0, 269.0], '아세아시멘트': [200.0, 36.0, 288.0]}"
2014-08-31,"{'제일연마': [204.0, 117.0, 694.0], '신영증권': [58.0, 113.0, 322.0], '제일파마홀딩스': [40.0, 258.0, 412.0], '진양산업': [238.0, 87.0, 605.0], '풍산홀딩스': [78.0, 127.0, 425.0], '미래에셋대우': [127.0, 110.0, 36.0], '태경산업': [152.0, 107.0, 579.0], 'SK가스': [89.0, 198.0, 295.0], '디씨엠': [190.0, 112.0, 476.0], '신세계 I&C': [145.0, 134.0, 394.0]}"
2014-09-30,"{'제일연마': [159.0, 127.0, 696.0], '신영증권': [64.0, 122.0, 324.0], '한국제지': [116.0, 113.0, 536.0], '진양산업': [203.0, 90.0, 582.0], '미래에셋대우': [140.0, 125.0, 52.0], '진양폴리': [208.0, 92.0, 602.0], '디씨엠': [194.0, 117.0, 435.0], '신세계 I&C': [97.0, 175.0, 383.0], '한국금융지주': [72.0, 158.0, 122.0], '동양고속': [207.0, 86.0, 623.0]}"
2014-10-31,"{'삼양홀딩스': [153.0, 148.0, 389.0], '제일연마': [142.0, 114.0, 701.0], '고려제강': [95.0, 90.0, 380.0], '진양산업': [161.0, 91.0, 525.0], '동일산업': [165.0, 95.0, 381.0], '아이에스동서': [20.0, 253.0, 203.0], '디씨엠': [99.0, 122.0, 339.0], '동양고속': [46.0, 194.0, 475.0], 'KPX홀딩스': [42.0, 150.0, 541.0], '코스맥스': [61.0, 34.0, 76.0]}"
2014-11-30,"{'삼양홀딩스': [122.0, 163.0, 393.0], '제일연마': [170.0, 114.0, 703.0], '고려제강': [34.0, 96.0, 314.0], '동일산업': [131.0, 97.0, 475.0], '아이에스동서': [11.0, 260.0, 187.0], '디씨엠': [37.0, 123.0, 317.0], 'BGF': [89.0, 34.0, 275.0], 'S&T모티브': [48.0, 160.0, 268.0], '한화생명': [91.0, 89.0, 108.0], '코스맥스': [115.0, 34.0, 87.0]}"
